device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName,package_name,package_info
,,,,,,,,,,,,,
CPE23-SIN-HYBRID,20.20.72.23,1,2,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,CPE23KSA,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,FlexVNF-16.1R2-S9-WSM,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
,,,,,,,,,,,,,
CPE26-HKG2-DUAL-HYB,20.20.90.26,1,2,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,KSA2508889,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,FlexVNF-16.1R2-S9,versa-flexvnf-20190628-153900-80561de-16.1R2S9
,,,,,,,,,,,,,
CPE27-HKG2-SINGLE-CPE-DUAL-INTERNET18,20.20.90.27,1,2,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,CPE27ySAB9,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,FlexVNF-16.1R2-S9,versa-flexvnf-20190628-153900-80561de-16.1R2S9
,,,,,,,,,,,,,
CPE31-Performance-810,20.20.90.31,1,2,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,J2KSA3346593,FWA-5020U-00A1R,versa-flexvnf-20190628-153900-80561de-16.1R2S9,FlexVNF-16.1R2-S9,versa-flexvnf-20190628-153900-80561de-16.1R2S9
,,,,,,,,,,,,,
CPE4-SIN-HYBRID,20.20.72.4,1,2,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE04KSA,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,FlexVNF-16.1R2-S9,versa-flexvnf-20190628-153900-80561de-16.1R2S9
,,,,,,,,,,,,,
CPE45-VoIP,20.20.90.45,1,2,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSD0144154,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,FlexVNF-16.1R2-S9,versa-flexvnf-20190628-153900-80561de-16.1R2S9
,,,,,,,,,,,,,
CPE5,20.20.16.5,1,2,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,KSD0098805,FWA-1320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,FlexVNF-16.1R2-S9,versa-flexvnf-20190628-153900-80561de-16.1R2S9
,,,,,,,,,,,,,
CPE53-Manual-Test,20.20.90.53,1,2,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,CPE53KSA,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,FlexVNF-16.1R2-S9,versa-flexvnf-20190628-153900-80561de-16.1R2S9
,,,,,,,,,,,,,
CPE6,20.20.16.6,1,2,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,KSA2222880,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,FlexVNF-16.1R2-S9,versa-flexvnf-20190628-153900-80561de-16.1R2S9
